curso_id,titulo,ordem,descricao
46,Módulo 5: Adipisci nisi corporis,5,Quaerat cupiditate reiciendis voluptate eaque natus blanditiis.
46,Módulo 6: Sed consequuntur,6,Provident eos recusandae omnis eius officia sed deserunt eius nulla cum id odit.
46,Módulo 7: Facere quae,7,Natus dolor sapiente qui perferendis magnam occaecati quasi minima nostrum.
47,Módulo 1: Sapiente harum aut eos,1,Repudiandae reprehenderit placeat nihil magnam veniam numquam nesciunt velit minima eos earum quidem.
47,Módulo 2: Excepturi,2,Iusto eligendi amet quas sunt praesentium porro blanditiis quos ratione quaerat.
47,Módulo 3: Fuga,3,Voluptas ullam beatae earum nostrum officia odio consequuntur maiores cum ut culpa dignissimos doloribus.
47,Módulo 4: Quo placeat,4,Ratione dicta iure id itaque quos.
48,Módulo 1: Beatae debitis,1,Rerum doloremque assumenda aliquam necessitatibus doloremque ex dolorem.
48,Módulo 2: Facere optio,2,Hic sint deleniti quia laboriosam explicabo amet deserunt ea reprehenderit consequatur.
48,Módulo 3: Amet mollitia ipsa,3,Occaecati quo est voluptas a itaque.
48,Módulo 4: Eius deleniti,4,Vel quidem saepe recusandae unde harum voluptatum neque voluptatum optio eius.
48,Módulo 5: Aspernatur eaque quidem,5,Voluptate eaque officia cum numquam voluptas quos repellat aut beatae.
48,Módulo 6: Esse culpa suscipit,6,Minima sapiente recusandae debitis iusto maiores veniam impedit quisquam iste rerum rerum sint.
48,Módulo 7: Atque,7,Culpa aliquid blanditiis atque fuga excepturi nostrum maxime numquam.
49,Módulo 1: Corporis voluptatibus,1,Error pariatur dolorem sit debitis temporibus corrupti eaque.
49,Módulo 2: Autem ipsum,2,Asperiores repellat a architecto voluptas porro ab accusamus exercitationem laudantium consectetur eius.
49,Módulo 3: Voluptates animi architecto,3,Itaque eos dolore deleniti quibusdam quasi asperiores occaecati.
49,Módulo 4: Dicta quasi,4,Ipsa aperiam modi repellendus similique id.
49,Módulo 5: Maxime animi,5,Eius magnam dolor ea eligendi ratione commodi.
49,Módulo 6: Ducimus repellat,6,Possimus vel eos rem aut mollitia soluta itaque cupiditate.
49,Módulo 7: Asperiores praesentium voluptatum dolore,7,Velit cum quam hic dolores minima.
50,Módulo 1: Repellat nesciunt dolorem,1,Odit est cum soluta numquam blanditiis velit.
50,Módulo 2: Provident nam omnis,2,Quibusdam odit dignissimos expedita repudiandae cupiditate qui dolores qui accusamus itaque reprehenderit error.
50,Módulo 3: Corporis velit voluptate,3,Laudantium sunt incidunt quis excepturi dolorem vel.
50,Módulo 4: Nemo sequi aspernatur,4,Rem quia aperiam dignissimos error magni veniam natus deleniti tempore dicta.
50,Módulo 5: Neque accusantium quam,5,Eligendi ad cum officia eos ea tempora maxime fugit fuga distinctio quaerat.
